id,host_id,country,latitude,longitude,property_type,room_type,bathrooms,price,review_scores_rating
11508,42762,Argentina,-34.58184,-58.42415,Condominium,Entire home/apt,1,3983,95
12463,48799,Argentina,-34.59761,-58.39468,Apartment,Private room,1,1593,95
13095,50994,Argentina,-34.59382,-58.42994,Bed and breakfast,Private room,1,2987,100
13096,50994,Argentina,-34.59398,-58.42853,Bed and breakfast,Private room,1,2987,94
13097,50994,Argentina,-34.59348,-58.42949,Bed and breakfast,Private room,1,2987,99
13099,50994,Argentina,-34.59362,-58.42984,Bed and breakfast,Private room,1,3983,94
13100,50994,Argentina,-34.59288,-58.4301,Bed and breakfast,Private room,1,4647,80
14222,55825,Argentina,-34.58777,-58.41106,Apartment,Entire home/apt,1,2522,96
14711,57770,Argentina,-34.60913,-58.37372,Other,Entire home/apt,1,7965,94
15074,59338,Argentina,-34.53724,-58.4658,Apartment,Private room,1,1991,94
15889,62183,Argentina,-34.6029,-58.4114,Apartment,Private room,1,2323,95
16695,64880,Argentina,-34.61439,-58.37611,Loft,Entire home/apt,1,4315,86
16696,64880,Argentina,-34.61494,-58.37517,Loft,Entire home/apt,1,3319,89
16697,64880,Argentina,-34.61494,-58.37517,Loft,Entire home/apt,1,2987,85
17451,67732,Argentina,-34.55811,-58.46462,House,Private room,1,2257,94
17993,68689,Argentina,-34.60175,-58.3786,Apartment,Entire home/apt,1,2987,100
18007,69404,Argentina,-34.6154,-58.3778,Apartment,Entire home/apt,1,23233,94
18061,69605,Argentina,-34.61986,-58.36947,Loft,Entire home/apt,1,2987,93
19583,74263,Argentina,-34.59593,-58.39257,Apartment,Entire home/apt,1,2257,97
20062,75891,Argentina,-34.58183,-58.44143,Apartment,Entire home/apt,1,5974,98
20429,77065,Argentina,-34.62108,-58.38677,Apartment,Entire home/apt,1,2323,94
21807,83312,Argentina,-34.62225,-58.37239,Apartment,Entire home/apt,1,3319,94
21816,83130,Argentina,-34.61407,-58.36187,Condominium,Entire home/apt,1,11948,94
21837,80208,Argentina,-34.60807,-58.37224,Apartment,Entire home/apt,1,3983,94
23798,94615,Argentina,-34.61495,-58.37319,Loft,Entire home/apt,1,3186,98
24713,100743,Argentina,-34.60254,-58.37811,Apartment,Entire home/apt,1,1991,93
24763,101049,Argentina,-34.58681,-58.44476,Loft,Entire home/apt,1,3916,94
25876,108864,Argentina,-34.59999,-58.37851,Apartment,Entire home/apt,1,2655,95
26258,111013,Argentina,-34.5991,-58.41053,Apartment,Entire home/apt,1,2323,70
26757,97165,Argentina,-34.62092,-58.36842,Apartment,Entire home/apt,1,2987,97
26839,114411,Argentina,-34.59395,-58.37938,Apartment,Entire home/apt,1,2655,94
27562,119120,Argentina,-34.58095,-58.40461,Apartment,Entire home/apt,1,3983,99
27631,119446,Argentina,-34.591,-58.39039,Apartment,Entire home/apt,1,3253,93
27991,120567,Argentina,-34.6003,-58.43739,Apartment,Entire home/apt,1,3651,94
28244,119613,Argentina,-34.57628,-58.43456,Loft,Entire home/apt,1,3784,95
29983,129235,Argentina,-34.59925,-58.3908,Apartment,Entire home/apt,1,5111,94
29990,129245,Argentina,-34.58521,-58.42739,Apartment,Entire home/apt,1,3253,93
31469,135120,Argentina,-34.56887,-58.4332,Apartment,Entire home/apt,1,2522,100
31514,64880,Argentina,-34.61494,-58.37517,Loft,Entire home/apt,1,4978,83
31920,137373,Argentina,-34.56483,-58.46014,Apartment,Entire home/apt,1,3983,94
35703,150763,Argentina,-34.59103,-58.40781,Apartment,Entire home/apt,1,2655,97
37347,161327,Argentina,-34.57148,-58.43246,Apartment,Entire home/apt,1,2655,95
41242,74406,Argentina,-34.58986,-58.42518,House,Private room,1,6638,94
41243,74406,Argentina,-34.58983,-58.42532,House,Private room,3,6638,94
41608,181721,Argentina,-34.58576,-58.42803,Apartment,Entire home/apt,1,4978,95
42450,185437,Argentina,-34.61578,-58.37175,Condominium,Entire home/apt,2,5974,96
45498,75891,Argentina,-34.58182,-58.44144,Apartment,Entire home/apt,1,5310,97
48089,192475,Argentina,-34.58705,-58.38791,Apartment,Entire home/apt,1,4647,98
48527,221661,Argentina,-34.58543,-58.39637,Apartment,Entire home/apt,1,8497,60
48535,221044,Argentina,-34.59456,-58.37503,Apartment,Entire home/apt,2,3319,94
48678,221661,Argentina,-34.58722,-58.39676,Apartment,Private room,1,8497,80
50778,233651,Argentina,-34.58978,-58.40011,Condominium,Entire home/apt,1,2987,88
52115,240731,Argentina,-34.59544,-58.39319,Apartment,Entire home/apt,1,3983,100
52511,242939,Argentina,-34.60886,-58.37349,Apartment,Entire home/apt,1,4647,94
53097,64880,Argentina,-34.61494,-58.37517,Loft,Entire home/apt,1,3983,86
53905,252182,Argentina,-34.59814,-58.43858,Apartment,Entire home/apt,1,1991,94
61282,296398,Argentina,-34.55396,-58.46753,Loft,Entire home/apt,2,1659,98
61882,122080,Argentina,-34.60142,-58.37094,Apartment,Private room,1,1792,98
65446,319901,Argentina,-34.58092,-58.42515,Condominium,Entire home/apt,1,7966,99
65513,320183,Argentina,-34.59811,-58.37779,Apartment,Entire home/apt,1,7302,85
65519,320183,Argentina,-34.57004,-58.43118,Apartment,Entire home/apt,2,8629,92
66939,319901,Argentina,-34.58246,-58.42442,Apartment,Entire home/apt,1,5841,98
