listing_id,Q_opiniones
11508,26
12463,20
13095,1
13097,66
13100,1
14222,90
15889,6
16695,46
16696,52
16697,22
17993,7
18061,144
19583,200
20062,222
23798,48
24713,344
24763,32
25876,232
26258,2
26757,82
27562,23
27631,97
27991,33
28244,22
29990,154
31469,11
31514,28
35703,84
37347,36
41608,123
42450,130
45498,115
48089,101
48527,1
48678,1
50778,96
52115,2
53097,36
53905,77
61282,140
61882,9
65446,160
65513,5
65519,13
66939,262
66940,219
68173,78
68489,142
68800,76
68868,245
69063,196
69086,39
69880,25
70082,38
71801,92
72204,22
73180,25
74383,60
75094,113
75492,315
75526,103
76005,6
76385,324
77024,22
77404,19
77704,119
77942,1
77994,5
78005,15
78009,42
78014,24
78068,19
78351,11
78685,37
78703,189
79226,39
79247,43
79766,178
80950,1
82623,41
83035,44
83152,89
83440,5
84033,145
84730,65
84986,56
85949,36
87828,1
89374,53
91063,55
92228,2
92689,97
93174,10
96103,61
96810,35
97043,9
98934,1
99362,16
100080,23
100930,2
104343,142
106475,112
107220,5
107259,26
108089,75
108284,233
111501,120
111934,102
118069,18
118070,42
119036,1
120874,9
122907,16
125123,3
127822,8
129681,14
129900,22
129932,111
130248,67
130275,14
130424,9
131145,38
132298,112
133043,16
133654,43
136986,130
137017,191
137468,30
138690,236
140142,28
143211,3
144827,43
146648,102
148284,268
152044,66
153878,65
154427,59
154548,422
154767,35
158056,54
159585,12
160611,8
161463,142
166846,59
168298,18
172118,68
172135,62
173681,78
174845,64
176318,154
181627,39
183454,21
186005,46
189867,52
190829,5
190830,3
190988,22
191056,11
192259,39
192468,38
194232,73
195571,29
196386,3
196601,6
196832,33
197288,1
201859,9
202861,2
203340,7
204628,69
205745,9
205781,19
206738,42
207369,48
210040,57
217360,19
218781,65
225905,42
227461,3
227498,1
227499,7
228138,18
228183,18
229571,17
232739,21
234002,17
235667,29
236858,53
238513,40
238619,23
239718,20
239853,169
243320,1
243373,129
245895,28
250327,98
253370,86
259745,95
259843,22
262285,10
264704,47
264769,42
266984,30
267883,30
268446,75
269115,42
269753,339
275933,82
277754,19
278433,9
278637,4
280564,7
281131,50
281173,3
281785,89
281839,16
284823,47
