listing_id,price,Reservas,Monto
11508,3983,365,1453795
12463,1792,365,654080
13095,2987,365,1090255
13096,2987,365,1090255
13097,2987,365,1090255
13099,3983,365,1453795
13100,4647,365,1696155
14222,2012,356,716272
14222,2084,9,18756
14711,7965,365,2907225
15074,1991,365,726715
15889,2323,261,606303
15889,2655,104,276120
16695,2323,66,153318
16695,4315,299,1290185
16696,1991,65,129415
16696,3319,300,995700
16697,1659,65,107835
16697,2987,300,896100
17451,2257,365,823805
17993,2257,152,343064
17993,2456,213,523128
18007,23233,365,8480045
18061,4514,365,1647610
19583,2191,365,799715
20062,5974,162,967788
20062,7235,24,173640
20062,7634,66,503844
20062,7766,5,38830
20062,7899,8,63192
20062,7966,19,151354
20062,8297,59,489523
20062,8629,14,120806
20062,8961,8,71688
20429,2323,174,404202
20429,2390,191,456490
21807,3319,365,1211435
21816,11948,365,4361020
21837,3983,365,1453795
23798,2955,4,11820
23798,3201,212,678612
23798,3283,65,213395
23798,3693,84,310212
24713,1991,1,1991
24713,2191,1,2191
24713,2456,5,12280
24713,2522,358,902876
24763,4315,365,1574975
25876,1859,273,507507
25876,1925,8,15400
25876,2058,1,2058
25876,2124,35,74340
25876,2655,48,127440
26258,2323,365,847895
26757,2124,24,50976
26757,2987,341,1018567
26839,2655,365,969075
27562,1328,16,21248
27562,1659,164,272076
27562,1726,185,319310
27631,1659,331,549129
27631,1925,34,65450
27991,1328,152,201856
27991,1394,101,140794
27991,1460,78,113880
27991,2058,34,69972
28244,3784,365,1381160
29983,5101,365,1861865
29990,3253,261,849033
29990,3916,104,407264
31469,3319,245,813155
31469,3385,111,375735
31469,3717,9,33453
31514,2722,4,10888
31514,2987,61,182207
31514,4978,300,1493400
31920,3983,365,1453795
35703,1991,36,71676
35703,2655,329,873495
37347,2655,365,969075
41242,6638,365,2422870
41243,6638,365,2422870
41608,4315,328,1415320
41608,4381,3,13143
41608,4580,24,109920
41608,4647,10,46470
42450,3983,30,119490
42450,4647,204,947988
42450,5841,55,321255
42450,5908,19,112252
42450,5974,57,340518
45498,5310,169,897390
45498,5974,68,406232
45498,7235,48,347280
45498,7302,22,160644
45498,7899,18,142182
45498,7966,32,254912
45498,8629,8,69032
48089,4978,158,786524
48089,5310,207,1099170
48527,8497,261,2217717
48527,9824,104,1021696
48535,3319,365,1211435
48678,8497,261,2217717
48678,9824,104,1021696
50778,2655,174,461970
50778,3053,191,583123
52115,1195,111,132645
52115,2522,247,622934
52115,2722,1,2722
52115,2921,6,17526
52511,4647,365,1696155
53097,2655,65,172575
53097,3983,300,1194900
53905,1991,365,726715
61282,2124,365,775260
61882,1792,365,654080
65446,6638,34,225692
65446,7634,56,427504
65446,7966,275,2190650
65513,7302,365,2665230
65519,4580,331,1515980
65519,4713,29,136677
65519,4779,5,23895
66939,5642,5,28210
66939,5841,360,2102760
66940,3319,331,1098589
66940,3983,5,19915
66940,4315,10,43150
66940,4647,19,88293
68173,3518,2,7036
68173,3585,6,21510
68173,3651,14,51114
68173,3717,5,18585
68173,3784,15,56760
68173,3850,10,38500
68173,3916,7,27412
68173,3983,18,71694
68173,4049,11,44539
68173,4116,3,12348
68173,4182,4,16728
68173,4248,4,16992
68173,4315,3,12945
68173,4381,3,13143
68173,4447,2,8894
68173,5576,1,5576
68173,6173,1,6173
68173,7966,256,2039296
68489,4182,91,380562
68489,4447,211,938317
68489,4978,63,313614
68800,21242,111,2357862
68800,24295,1,24295
68800,25025,50,1251250
68800,25092,30,752760
68800,25158,9,226422
68800,25224,31,781944
68800,25291,2,50582
68800,25357,1,25357
68800,26950,19,512050
68800,27017,73,1972241
68800,27083,38,1029154
68868,10621,52,552292
68868,12612,1,12612
68868,13276,8,106208
68868,6638,28,185864
68868,7966,248,1975568
68868,9957,28,278796
69063,1460,47,68620
69063,1659,1,1659
69063,1726,6,10356
69063,1792,3,5376
69063,1859,4,7436
69063,1925,1,1925
69063,1991,20,39820
69063,2058,19,39102
69063,2124,33,70092
69063,2191,31,67921
69063,2257,50,112850
69063,2323,55,127765
69063,2390,39,93210
69063,2456,19,46664
69063,2522,2,5044
69063,2589,12,31068
69063,2655,10,26550
69063,2722,5,13610
69063,2788,3,8364
69063,2854,3,8562
69063,2921,1,2921
69063,3053,1,3053
69086,1659,65,107835
69086,2655,300,796500
69880,7966,365,2907590
70082,2390,147,351330
70082,2456,209,513304
70082,2522,1,2522
70082,2589,2,5178
70082,2655,1,2655
70082,2722,2,5444
70082,2788,2,5576
70082,2854,1,2854
71801,3319,365,1211435
72204,24029,365,8770585
73180,1991,365,726715
74383,10621,35,371735
74383,10953,31,339543
74383,11616,270,3136320
74383,12280,29,356120
75094,2987,365,1090255
75492,1659,292,484428
75492,1726,4,6904
75492,1792,1,1792
75492,1859,21,39039
75492,1925,13,25025
